Customer_ID,Customer_Name,Segment
HW-14935,Helen Wasserman,Corporate
AG-10900,Arthur Gainer,Consumer
DH-13675,Duane Huffman,Home Office
BD-11725,Bruce Degenhardt,Consumer
DP-13390,Dennis Pardue,Home Office
ML-17395,Marina Lichtenstein,Corporate
EN-13780,Edward Nazzal,Consumer
GR-14560,Georgia Rosenberg,Corporate
KM-16375,Katherine Murray,Home Office
SV-20365,Seth Vernon,Consumer
DM-12955,Dario Medina,Corporate
TS-21505,Tony Sayre,Consumer
TB-21250,Tim Brockman,Consumer
JE-15715,Joe Elijah,Consumer
VG-21790,Vivek Gonzalez,Consumer
LH-16900,Lena Hernandez,Consumer
SR-20425,Sharelle Roach,Home Office
HM-14860,Harry Marie,Corporate
EP-13915,Emily Phan,Consumer
KA-16525,Kelly Andreada,Consumer
JW-15955,Joni Wasserman,Consumer
ME-17725,Max Engle,Consumer
MT-18070,Michelle Tran,Home Office
JE-15745,Joel Eaton,Consumer
KN-16450,Kean Nguyen,Corporate
TS-21160,Theresa Swint,Corporate
TS-21370,Todd Sumrall,Corporate
DN-13690,Duane Noonan,Consumer
GA-14725,Guy Armstrong,Consumer
SS-20875,Sung Shariari,Consumer
RD-19720,Roger Demir,Consumer
NR-18550,Nick Radford,Consumer
BM-11650,Brian Moss,Corporate
TB-21400,Tom Boeckenhauer,Consumer
RL-19615,Rob Lucas,Consumer
DB-12910,Daniel Byrd,Home Office
LL-16840,Lauren Leatherbury,Consumer
CC-12610,Corey Catlett,Corporate
JP-15520,Jeremy Pistek,Consumer
DB-13555,Dorothy Badders,Corporate
CR-12820,Cyra Reiten,Home Office
SC-20020,Sam Craven,Consumer
RM-19375,Raymond Messe,Consumer
CP-12085,Cathy Prescott,Corporate
JL-15235,Janet Lee,Consumer
TG-21310,Toby Gnade,Consumer
DS-13030,Darrin Sayre,Home Office
SC-20050,Sample Company A,Home Office
CG-12520,Claire Gute,Consumer
HF-14995,Herbert Flentye,Consumer
MO-17500,Mary ORourke,Consumer
AP-10915,Arthur Prichep,Consumer
AA-10645,Anna Andreadi,Consumer
BD-11770,Bryan Davis,Consumer
