Row_ID;Order_ID;Order_Date;Ship_Date;Ship_Mode;Customer_ID;Customer_Name;Segment;Country;City;State;Postal_Code;Region;Product_ID;Category;Sub_Category;Product_Name;Sales
3513;CA-2018-140326;4/9/2018;6/9/2018;First Class;HW-14935;Helen Wasserman;Corporate;United States;Chicago;Illinois;60653;Central;FUR-BO-10000112;Furniture;Bookcases;Bush Birmingham Collection Bookcase, Dark Cherry;825,174
1761;CA-2016-130785;5/9/2016;9/9/2016;Standard Class;AG-10900;Arthur Gainer;Consumer;United States;San Diego;California;92105;West;FUR-BO-10000330;Furniture;Bookcases;Sauder Camden County Barrister Bookcase, Planked Cherry Finish;411,332
5495;CA-2015-105249;28/11/2015;28/11/2015;Same Day;DH-13675;Duane Huffman;Home Office;United States;San Francisco;California;94122;West;FUR-BO-10000330;Furniture;Bookcases;Sauder Camden County Barrister Bookcase, Planked Cherry Finish;411,332
6402;CA-2018-125472;30/5/2018;31/5/2018;First Class;BD-11725;Bruce Degenhardt;Consumer;United States;Lafayette;Louisiana;70506;South;FUR-BO-10000330;Furniture;Bookcases;Sauder Camden County Barrister Bookcase, Planked Cherry Finish;241,96
1595;CA-2016-118423;24/3/2016;27/3/2016;First Class;DP-13390;Dennis Pardue;Home Office;United States;Peoria;Illinois;61604;Central;FUR-BO-10000362;Furniture;Bookcases;Sauder Inglewood Library Bookcases;359,058
1611;CA-2015-156349;26/5/2015;30/5/2015;Standard Class;ML-17395;Marina Lichtenstein;Corporate;United States;Los Angeles;California;90008;West;FUR-BO-10000362;Furniture;Bookcases;Sauder Inglewood Library Bookcases;290,666
2604;CA-2017-165848;4/6/2017;4/6/2017;Same Day;EN-13780;Edward Nazzal;Consumer;United States;New York City;New York;10035;East;FUR-BO-10000362;Furniture;Bookcases;Sauder Inglewood Library Bookcases;136,784
5395;US-2015-123183;19/11/2015;25/11/2015;Standard Class;GR-14560;Georgia Rosenberg;Corporate;United States;Wilmington;Delaware;19805;East;FUR-BO-10000362;Furniture;Bookcases;Sauder Inglewood Library Bookcases;1025,88
7681;CA-2015-133592;31/12/2015;7/1/2016;Standard Class;KM-16375;Katherine Murray;Home Office;United States;Providence;Rhode Island;2908;East;FUR-BO-10000362;Furniture;Bookcases;Sauder Inglewood Library Bookcases;341,96
1933;CA-2018-161200;6/8/2018;10/8/2018;Second Class;SV-20365;Seth Vernon;Consumer;United States;Lafayette;Louisiana;70506;South;FUR-BO-10000468;Furniture;Bookcases;OSullivan 2-Shelf Heavy-Duty Bookcases;145,74
3031;CA-2016-168480;21/9/2016;27/9/2016;Standard Class;DM-12955;Dario Medina;Corporate;United States;Lincoln Park;Michigan;48146;Central;FUR-BO-10000468;Furniture;Bookcases;OSullivan 2-Shelf Heavy-Duty Bookcases;194,32
5474;CA-2018-116946;19/12/2018;23/12/2018;Standard Class;TS-21505;Tony Sayre;Consumer;United States;Parker;Colorado;80134;West;FUR-BO-10000468;Furniture;Bookcases;OSullivan 2-Shelf Heavy-Duty Bookcases;102,018
7566;US-2017-166660;30/1/2017;1/2/2017;Second Class;TB-21250;Tim Brockman;Consumer;United States;Seattle;Washington;98103;West;FUR-BO-10000468;Furniture;Bookcases;OSullivan 2-Shelf Heavy-Duty Bookcases;48,58
8790;CA-2018-126914;15/6/2018;19/6/2018;Standard Class;JE-15715;Joe Elijah;Consumer;United States;Monroe;North Carolina;28110;South;FUR-BO-10000468;Furniture;Bookcases;OSullivan 2-Shelf Heavy-Duty Bookcases;77,728
8955;CA-2015-156790;8/8/2015;10/8/2015;Second Class;VG-21790;Vivek Gonzalez;Consumer;United States;Jacksonville;Florida;32216;South;FUR-BO-10000468;Furniture;Bookcases;OSullivan 2-Shelf Heavy-Duty Bookcases;155,456
4089;US-2015-156559;19/8/2015;26/8/2015;Standard Class;LH-16900;Lena Hernandez;Consumer;United States;Jonesboro;Arkansas;72401;South;FUR-BO-10000711;Furniture;Bookcases;Hon Metal Bookcases, Gray;638,82
5221;CA-2015-140487;14/6/2015;20/6/2015;Standard Class;SR-20425;Sharelle Roach;Home Office;United States;Detroit;Michigan;48234;Central;FUR-BO-10000711;Furniture;Bookcases;Hon Metal Bookcases, Gray;212,94
2404;US-2017-110170;27/9/2017;3/10/2017;Standard Class;HM-14860;Harry Marie;Corporate;United States;Huntsville;Texas;77340;Central;FUR-BO-10000780;Furniture;Bookcases;OSullivan Plantations 2-Door Library in Landvery Oak;956,6648
4267;US-2017-131611;5/11/2017;9/11/2017;Standard Class;EP-13915;Emily Phan;Consumer;United States;Houston;Texas;77036;Central;FUR-BO-10000780;Furniture;Bookcases;OSullivan Plantations 2-Door Library in Landvery Oak;956,6648
4469;CA-2018-168641;24/11/2018;1/12/2018;Standard Class;KA-16525;Kelly Andreada;Consumer;United States;New York City;New York;10035;East;FUR-BO-10000780;Furniture;Bookcases;OSullivan Plantations 2-Door Library in Landvery Oak;321,568
9220;US-2016-164238;16/8/2016;20/8/2016;Standard Class;JW-15955;Joni Wasserman;Consumer;United States;Philadelphia;Pennsylvania;19120;East;FUR-BO-10000780;Furniture;Bookcases;OSullivan Plantations 2-Door Library in Landvery Oak;301,47
9626;CA-2018-137449;29/6/2018;30/6/2018;First Class;ME-17725;Max Engle;Consumer;United States;Dallas;Texas;75220;Central;FUR-BO-10000780;Furniture;Bookcases;OSullivan Plantations 2-Door Library in Landvery Oak;409,9992
486;CA-2018-140963;10/6/2018;13/6/2018;First Class;MT-18070;Michelle Tran;Home Office;United States;Los Angeles;California;90045;West;FUR-BO-10001337;Furniture;Bookcases;OSullivan Living Dimensions 2-Shelf Bookcases;514,165
